seed,sensor,arm,condition,cwv,miou,OA,AA,kappa,train_miou,zshift_median,zshift_max,zshift_median_measuring,zshift_max_measuring,zshift_max_band,z_abs_max,n_bands_used,n_degenerate_scaler_cols,n_classes_test,n_test_px,split_sha16
1,landsat_oli,gain_corrected,cwv4,4.0,65.0857834473482,76.66165413533834,75.24058181161344,73.26745895914661,75.43033922502485,0.0007249807360900455,0.0024004049408675805,0.0007249807360900455,0.0024004049408675805,0,5.633965079074567,6,0,15,3325,df19862980d58f94
2,landsat_oli,gain_corrected,cwv4,4.0,60.7317953800982,76.31344612644702,72.88799602845273,72.75218570897059,73.2714417729739,0.0007252205272414512,0.002414639520525791,0.0007252205272414512,0.002414639520525791,0,6.5429771840932975,6,0,15,3369,3b1a159ad79e5b9d
3,landsat_oli,gain_corrected,cwv4,4.0,61.71702263015786,76.57763428235985,74.97840175889424,72.9986303596947,72.32499844287707,0.0007265101387229628,0.002427538863461854,0.0007265101387229628,0.002427538863461854,0,5.828088911397621,6,0,16,3407,56f4295fa4b88c6f
4,landsat_oli,gain_corrected,cwv4,4.0,62.16160616598027,77.45412175939411,72.50764182436258,74.17472387772477,71.73341825057224,0.0007191633690179914,0.0024413338367099764,0.0007191633690179914,0.0024413338367099764,0,3.341608653795391,6,0,16,3433,02050e564bfe03b1
0,landsat_oli,uncorrected,cwv0.5,0.5,24.871595744439627,39.794375566979134,41.43986641657461,33.461827017487266,75.9219220261472,0.12105274278973764,0.3699509343472778,0.12105274278973764,0.3699509343472778,5,3.7220148829704414,6,0,15,3307,200212adf5406e17
1,landsat_oli,uncorrected,cwv0.5,0.5,21.958668944976008,36.962406015037594,34.868452669042526,30.56600976431678,75.43033922502485,0.1207618222062104,0.3691289088401414,0.1207618222062104,0.3691289088401414,5,5.5081357490381135,6,0,15,3325,df19862980d58f94
2,landsat_oli,uncorrected,cwv0.5,0.5,22.204214072498196,37.22172751558326,35.04993386970111,30.899619423188152,73.2714417729739,0.12088205381039145,0.3683588454865236,0.12088205381039145,0.3683588454865236,5,6.410515608464898,6,0,15,3369,3b1a159ad79e5b9d
3,landsat_oli,uncorrected,cwv0.5,0.5,21.139320542806843,35.808629292632816,38.16820121833446,29.48052390538357,72.32499844287707,0.12136362369687409,0.36871964907476334,0.12136362369687409,0.36871964907476334,5,5.700379811008824,6,0,16,3407,56f4295fa4b88c6f
4,landsat_oli,uncorrected,cwv0.5,0.5,20.89797065849596,36.3530439848529,38.161820716947986,29.85489489743351,71.73341825057224,0.12176452117998177,0.3690526637041479,0.12176452117998177,0.3690526637041479,5,3.29196346261418,6,0,16,3433,02050e564bfe03b1
0,landsat_oli,uncorrected,cwv2,2.0,19.72003156945669,36.58905352283036,39.90243504839315,30.297823222610727,75.9219220261472,0.1341796549009166,0.5715465434667552,0.1341796549009166,0.5715465434667552,5,3.7220148829704414,6,0,15,3307,200212adf5406e17
1,landsat_oli,uncorrected,cwv2,2.0,18.110186344878535,33.50375939849624,31.071492734457873,27.170810766900427,75.43033922502485,0.13386603021659446,0.570301589151769,0.13386603021659446,0.570301589151769,5,5.5081357490381135,6,0,15,3325,df19862980d58f94
2,landsat_oli,uncorrected,cwv2,2.0,18.527390494595767,33.30365093499555,31.26494899792177,26.939770361655786,73.2714417729739,0.13402866654282658,0.5691402828705092,0.13402866654282658,0.5691402828705092,5,6.410515608464898,6,0,15,3369,3b1a159ad79e5b9d
3,landsat_oli,uncorrected,cwv2,2.0,17.051344779389794,31.58203698268271,33.998071018039525,25.267081837155285,72.32499844287707,0.13459647703238473,0.5696986170222988,0.13459647703238473,0.5696986170222988,5,5.700379811008824,6,0,16,3407,56f4295fa4b88c6f
4,landsat_oli,uncorrected,cwv2,2.0,17.272078102893634,31.867171570055348,33.99870674198363,25.589020688469017,71.73341825057224,0.13504258060451357,0.5702113365303474,0.13504258060451357,0.5702113365303474,5,3.2760739489666046,6,0,16,3433,02050e564bfe03b1
0,landsat_oli,uncorrected,cwv4,4.0,18.694693524812784,34.98639250075597,38.94494982114966,28.973800507289322,75.9219220261472,0.149596391469125,0.7676706669571469,0.149596391469125,0.7676706669571469,5,3.7220148829704414,6,0,15,3307,200212adf5406e17
1,landsat_oli,uncorrected,cwv4,4.0,16.40255402007137,30.49624060150376,28.005059943847094,24.586939888801176,75.43033922502485,0.14925542782206874,0.7660148910281845,0.14925542782206874,0.7660148910281845,5,5.5081357490381135,6,0,15,3325,df19862980d58f94
2,landsat_oli,uncorrected,cwv4,4.0,15.026435337255103,29.29652715939448,26.67927546344812,23.00070647821235,73.2714417729739,0.1494653774993011,0.7644733396239926,0.1494653774993011,0.7644733396239926,5,6.410515608464898,6,0,15,3369,3b1a159ad79e5b9d
3,landsat_oli,uncorrected,cwv4,4.0,14.004029086156851,27.942471382447902,29.822611341841654,21.73954985517365,72.32499844287707,0.15013171063641836,0.765223955031944,0.15013171063641836,0.765223955031944,5,5.700379811008824,6,0,16,3407,56f4295fa4b88c6f
4,landsat_oli,uncorrected,cwv4,4.0,14.490865130699593,28.808622196329743,30.34544958433272,22.6862291354691,71.73341825057224,0.15063062021651602,0.7659116844697075,0.15063062021651602,0.7659116844697075,5,3.256150001747221,6,0,16,3433,02050e564bfe03b1
0,sentinel2,clean,clean,,68.79772544775501,79.70970668279406,77.98921476462652,76.71460833425064,82.37160614144781,0.0,0.0,0.0,0.0,0,3.7744171586532267,11,0,15,3307,200212adf5406e17
1,sentinel2,clean,clean,,64.67023656396145,78.52631578947368,76.85856439866878,75.43229302220414,82.3392861399294,0.0,0.0,0.0,0.0,0,5.337994396629392,11,0,15,3325,df19862980d58f94
2,sentinel2,clean,clean,,68.66580629101502,81.24072425051945,79.06291296149877,78.46321691693188,81.73100878042408,0.0,0.0,0.0,0.0,0,6.2855539080061,11,0,15,3369,3b1a159ad79e5b9d
3,sentinel2,clean,clean,,68.70473650792931,79.1018491341356,78.86977914016336,75.86141186695369,75.80118167524334,0.0,0.0,0.0,0.0,0,5.578753618647593,11,0,16,3407,56f4295fa4b88c6f
4,sentinel2,clean,clean,,63.72019299234797,78.29886396737548,73.07256848239045,75.04826768050748,72.49974130916266,0.0,0.0,0.0,0.0,0,3.721103920836413,11,0,16,3433,02050e564bfe03b1
0,sentinel2,gain_corrected,cwv0.5,0.5,68.73095833593975,79.80042334442092,78.2144067102204,76.80531445567179,82.37160614144781,0.0005782239199578682,0.007329969762300866,0.0005782239199578682,0.007329969762300866,6,3.7746071086921873,11,0,15,3307,200212adf5406e17
1,sentinel2,gain_corrected,cwv0.5,0.5,64.81468221746664,78.88721804511279,76.99871075002577,75.8361435555544,82.3392861399294,0.0005767726557407801,0.007376283518585242,0.0005767726557407801,0.007376283518585242,6,5.333440546491156,11,0,15,3325,df19862980d58f94
2,sentinel2,gain_corrected,cwv0.5,0.5,68.91925169377753,81.47818343722173,79.25145477580847,78.71748687164502,81.73100878042408,0.0005737690780729006,0.007373643277050711,0.0005737690780729006,0.007373643277050711,6,6.279766154698567,11,0,15,3369,3b1a159ad79e5b9d
3,sentinel2,gain_corrected,cwv0.5,0.5,68.51224127935849,78.98444379219255,78.92865280073472,75.70148493736545,75.80118167524334,0.0005759498569814508,0.007340181553298279,0.0005759498569814508,0.007340181553298279,6,5.573554213784098,11,0,16,3407,56f4295fa4b88c6f
4,sentinel2,gain_corrected,cwv0.5,0.5,63.79179566733886,78.1240897174483,73.08581644128107,74.82793311383703,72.49974130916266,0.0005747382375298457,0.007221577497935701,0.0005747382375298457,0.007221577497935701,6,3.7212911451854964,11,0,16,3433,02050e564bfe03b1
0,sentinel2,gain_corrected,cwv2,2.0,69.21596121449099,80.07257332930148,78.35765886727603,77.12164915466188,82.37160614144781,0.000967602039940668,0.019420149108811974,0.000967602039940668,0.019420149108811974,6,3.77519381380412,11,0,15,3307,200212adf5406e17
1,sentinel2,gain_corrected,cwv2,2.0,64.51760060650315,78.55639097744361,76.79196513297889,75.46061961100932,82.3392861399294,0.0009573553161277846,0.01954211052825607,0.0009573553161277846,0.01954211052825607,6,5.333440546491156,11,0,15,3325,df19862980d58f94
2,sentinel2,gain_corrected,cwv2,2.0,68.35816972501154,81.15167705550608,78.72438525386987,78.34362981421388,81.73100878042408,0.00106538255602093,0.01953127105101606,0.00106538255602093,0.01953127105101606,6,6.279766154698567,11,0,15,3369,3b1a159ad79e5b9d
3,sentinel2,gain_corrected,cwv2,2.0,68.43650992127111,78.98444379219255,78.88043583691467,75.7055746040548,75.80118167524334,0.0010724493041666867,0.019443237380510875,0.0010724493041666867,0.019443237380510875,6,5.573554213784098,11,0,16,3407,56f4295fa4b88c6f
4,sentinel2,gain_corrected,cwv2,2.0,63.630605254267245,77.97844450917565,72.91131496882548,74.66133236379144,72.49974130916266,0.0010742160421680774,0.019126624056167742,0.0010742160421680774,0.019126624056167742,6,3.7218694313668856,11,0,16,3433,02050e564bfe03b1
0,sentinel2,gain_corrected,cwv4,4.0,68.99459337149882,79.89114000604778,78.11867513034944,76.91221422611291,82.37160614144781,0.000967602039940668,0.02809180641343456,0.000967602039940668,0.02809180641343456,6,3.7759387186283595,11,0,15,3307,200212adf5406e17
1,sentinel2,gain_corrected,cwv4,4.0,64.36418285366085,78.43609022556392,76.57107221747677,75.31742248675188,82.3392861399294,0.0009573553161277846,0.028267068730842677,0.0009573553161277846,0.028267068730842677,6,5.333440546491156,11,0,15,3325,df19862980d58f94
2,sentinel2,gain_corrected,cwv4,4.0,68.19334110245984,81.00326506381715,78.5755477607145,78.1764983389155,81.73100878042408,0.0009713255292889037,0.02824710721154385,0.0009713255292889037,0.02824710721154385,6,6.279766154698567,11,0,15,3369,3b1a159ad79e5b9d
3,sentinel2,gain_corrected,cwv4,4.0,68.43410774532347,78.83768711476372,78.59608249054128,75.54420665446887,75.80118167524334,0.0009806565389380679,0.028119564690590564,0.0009806565389380679,0.028119564690590564,6,5.573554213784098,11,0,16,3407,56f4295fa4b88c6f
4,sentinel2,gain_corrected,cwv4,4.0,63.65579321367326,78.1240897174483,72.8948268710705,74.83815779200499,72.49974130916266,0.0009988387710675533,0.027657806452331502,0.0009988387710675533,0.027657806452331502,6,3.722603647172316,11,0,16,3433,02050e564bfe03b1
0,sentinel2,uncorrected,cwv0.5,0.5,9.43447905004741,20.229815542788028,22.6692795895024,13.551256746603588,82.37160614144781,0.11293239944384681,3.7408014031987697,0.11293239944384681,3.7408014031987697,8,5.163761253625338,11,0,15,3307,200212adf5406e17
1,sentinel2,uncorrected,cwv0.5,0.5,7.8476549446393244,23.8796992481203,18.080437911646094,15.383036780274564,82.3392861399294,0.11293982252677125,3.7207091445192364,0.11293982252677125,3.7207091445192364,8,5.164385998135867,11,0,15,3325,df19862980d58f94
2,sentinel2,uncorrected,cwv0.5,0.5,7.041640810423631,15.43484713564856,17.297473744719177,7.929230941894379,81.73100878042408,0.11330351070008614,3.7097816065236286,0.11330351070008614,3.7097816065236286,8,6.100468068905992,11,0,15,3369,3b1a159ad79e5b9d
3,sentinel2,uncorrected,cwv0.5,0.5,7.340283066450154,21.015556207807457,16.183025967389792,11.67556599681971,75.80118167524334,0.1138248156866485,3.681866482578015,0.1138248156866485,3.681866482578015,8,5.401371956100936,11,0,16,3407,56f4295fa4b88c6f
