arm,model_seed,split_seed,joint,coverage,selective,pixel_acc,component_acc
clean_selfnorm,8,7,8.277958937198067,74.0284420289855,11.182133123856463,78.67936288088643,79.01292270531401
clean_selfnorm,8,8,8.681159420289854,73.30507246376811,11.842508476586826,78.06554054054054,78.05072463768117
clean_selfnorm,8,9,8.2637077294686,74.68435990338163,11.064843750631686,78.65307486631016,78.67602657004831
clean_selfnorm,9,0,11.932729468599035,75.52910628019325,15.79884902163641,74.80068493150685,74.90736714975846
clean_selfnorm,9,1,9.364855072463769,72.806884057971,12.862595609787657,76.60593220338983,76.68097826086957
clean_selfnorm,9,2,10.354468599033817,75.81189613526571,13.6581052933422,76.84945504087194,76.91407004830918
clean_selfnorm,9,3,9.593297101449275,74.74003623188406,12.835553185558638,77.55861581920904,77.57083333333334
clean_selfnorm,9,4,10.707367149758454,76.16437198067634,14.058235985291153,76.57466666666667,76.73743961352658
clean_selfnorm,9,5,10.834601449275363,76.1856884057971,14.221308064535307,76.64903846153847,76.78496376811594
clean_selfnorm,9,6,10.189311594202897,75.58985507246378,13.479734263857196,77.46796657381616,77.60018115942029
clean_selfnorm,9,7,9.139613526570049,74.00754830917874,12.349569382284905,76.61703601108033,77.02228260869566
clean_selfnorm,9,8,9.896014492753624,74.83333333333334,13.224072818824439,77.23513513513514,77.15615942028987
clean_selfnorm,9,9,9.504045893719807,75.73176328502416,12.549616543259884,78.05815508021391,77.99033816425121
L2A_src,0,0,32.37463768115943,93.5765700483092,34.596948428913265,63.465753424657535,63.68707729468601
L2A_src,0,1,29.07047101449276,92.95706521739129,31.27300861586794,66.79731638418079,66.8019927536232
L2A_src,0,2,29.985688405797106,92.95984299516908,32.25660396968979,65.84059945504087,65.74643719806762
L2A_src,0,3,29.434057971014493,92.41521739130434,31.849795739142028,66.12217514124293,66.1784420289855
L2A_src,0,4,31.035990338164254,92.50857487922704,33.54931191911966,64.18,64.42512077294687
L2A_src,0,5,29.35670289855072,92.57445652173914,31.711450438444565,66.10233516483517,66.15960144927536
L2A_src,0,6,30.1536231884058,93.01195652173914,32.41908278895109,65.67827298050139,65.69039855072464
L2A_src,0,7,29.559178743961358,92.65742753623189,31.90157500584917,65.54224376731302,66.19722222222222
L2A_src,0,8,29.153260869565223,92.51920289855072,31.510497233241836,66.5831081081081,66.46920289855073
L2A_src,0,9,28.655736714975845,92.28188405797101,31.052396694647516,67.0701871657754,66.77059178743961
L2A_src,1,0,28.866787439613528,95.68949275362321,30.167144384324796,68.78630136986301,68.55193236714975
L2A_src,1,1,26.821014492753616,95.18876811594204,28.17665888908765,70.4244350282486,70.44039855072462
L2A_src,1,2,27.372041062801927,95.0189009661836,28.80694344438208,69.56607629427793,69.5788043478261
L2A_src,1,3,27.925905797101446,94.94981884057971,29.411225990845658,68.91313559322035,69.01902173913044
L2A_src,1,4,28.03768115942029,95.32560386473429,29.412539782287006,69.35133333333333,69.25736714975845
L2A_src,1,5,26.960688405797097,95.0483695652174,28.36522975525428,69.98901098901099,70.2052536231884
L2A_src,1,6,28.009782608695655,95.2427536231884,29.408833263590374,69.01601671309191,69.12409420289855
L2A_src,1,7,26.43508454106281,95.29589371980676,27.74000380204044,70.6038781163435,70.87161835748792
L2A_src,1,8,27.231884057971012,94.94710144927535,28.681111526631913,69.72635135135135,69.77173913043478
