run_seed,config,missing_features,mask,miou
0,drop,3,0|3|9,85.507126
0,impute,3,0|3|9,85.399416
0,base,3,0|3|10,83.771438
0,drop,3,0|3|10,83.147172
0,impute,3,0|3|10,86.178463
0,base,3,0|3|11,57.579619
0,drop,3,0|3|11,88.001542
0,impute,3,0|3|11,86.490056
0,base,3,0|4|5,67.545423
0,drop,3,0|4|5,74.861708
0,impute,3,0|4|5,84.621800
0,base,3,0|4|6,69.773850
0,drop,3,0|4|6,68.073370
0,impute,3,0|4|6,85.438160
0,base,3,0|4|7,59.097516
0,drop,3,0|4|7,75.572784
0,impute,3,0|4|7,80.571541
0,base,3,0|4|8,67.143851
0,drop,3,0|4|8,65.785558
0,impute,3,0|4|8,85.473718
0,base,3,0|4|9,76.909462
0,drop,3,0|4|9,74.646559
0,impute,3,0|4|9,85.438160
0,base,3,0|4|10,81.623377
0,drop,3,0|4|10,70.413219
0,impute,3,0|4|10,86.027823
0,base,3,0|4|11,77.704580
0,drop,3,0|4|11,75.561207
0,impute,3,0|4|11,86.393783
0,base,3,0|5|6,63.448292
0,drop,3,0|5|6,72.204375
0,impute,3,0|5|6,83.254301
0,base,3,0|5|7,61.599294
0,drop,3,0|5|7,62.434484
0,impute,3,0|5|7,81.081613
0,base,3,0|5|8,65.794743
0,drop,3,0|5|8,64.281068
0,impute,3,0|5|8,83.141482
0,base,3,0|5|9,62.109063
0,drop,3,0|5|9,62.326957
0,impute,3,0|5|9,82.398332
0,base,3,0|5|10,61.749835
0,drop,3,0|5|10,63.073582
0,impute,3,0|5|10,83.942693
0,base,3,0|5|11,49.023081
0,drop,3,0|5|11,59.951704
0,impute,3,0|5|11,84.439972
0,base,3,0|6|7,65.248802
0,drop,3,0|6|7,69.212086
0,impute,3,0|6|7,83.041877
0,base,3,0|6|8,81.197887
0,drop,3,0|6|8,88.304115
0,impute,3,0|6|8,85.593353
0,base,3,0|6|9,78.467966
0,drop,3,0|6|9,74.464373
0,impute,3,0|6|9,85.090237
0,base,3,0|6|10,83.185386
0,drop,3,0|6|10,87.957294
0,impute,3,0|6|10,85.593353
0,base,3,0|6|11,62.320982
0,drop,3,0|6|11,69.194183
0,impute,3,0|6|11,86.597598
0,base,3,0|7|8,67.747617
0,drop,3,0|7|8,68.305666
0,impute,3,0|7|8,83.225214
0,base,3,0|7|9,63.435115
0,drop,3,0|7|9,59.170401
0,impute,3,0|7|9,82.523733
0,base,3,0|7|10,64.421627
0,drop,3,0|7|10,65.408197
0,impute,3,0|7|10,83.200310
0,base,3,0|7|11,45.825313
0,drop,3,0|7|11,33.532428
0,impute,3,0|7|11,83.775121
0,base,3,0|8|9,85.423637
0,drop,3,0|8|9,90.384031
0,impute,3,0|8|9,85.086857
0,base,3,0|8|10,90.329142
0,drop,3,0|8|10,77.498996
0,impute,3,0|8|10,85.713061
0,base,3,0|8|11,64.448059
0,drop,3,0|8|11,82.336583
0,impute,3,0|8|11,86.440808
0,base,3,0|9|10,60.272651
0,drop,3,0|9|10,84.286429
0,impute,3,0|9|10,84.978053
0,base,3,0|9|11,27.690213
0,drop,3,0|9|11,76.766611
0,impute,3,0|9|11,86.089381
0,base,3,0|10|11,33.798272
0,drop,3,0|10|11,90.137493
0,impute,3,0|10|11,87.083854
0,base,3,1|2|3,66.700859
0,drop,3,1|2|3,68.633425
0,impute,3,1|2|3,85.441363
0,base,3,1|2|4,70.124390
0,drop,3,1|2|4,75.553513
0,impute,3,1|2|4,85.093593
0,base,3,1|2|5,62.609954
0,drop,3,1|2|5,62.249580
0,impute,3,1|2|5,81.879428
0,base,3,1|2|6,68.222923
0,drop,3,1|2|6,63.113609
0,impute,3,1|2|6,85.286584
0,base,3,1|2|7,62.053121
0,drop,3,1|2|7,62.309752
0,impute,3,1|2|7,82.189776
0,base,3,1|2|8,78.103128
0,drop,3,1|2|8,66.334866
0,impute,3,1|2|8,85.286584
0,base,3,1|2|9,65.346601
0,drop,3,1|2|9,63.038488
0,impute,3,1|2|9,84.517777
0,base,3,1|2|10,61.999061
0,drop,3,1|2|10,63.113609
0,impute,3,1|2|10,85.593353
0,base,3,1|2|11,56.037940
0,drop,3,1|2|11,62.032423
0,impute,3,1|2|11,85.908681
0,base,3,1|3|4,61.903682
0,drop,3,1|3|4,71.862820
0,impute,3,1|3|4,86.290352
0,base,3,1|3|5,69.059802
0,drop,3,1|3|5,62.915010
0,impute,3,1|3|5,83.745177
0,base,3,1|3|6,70.065733
0,drop,3,1|3|6,94.242279
0,impute,3,1|3|6,85.590196
0,base,3,1|3|7,70.557397
0,drop,3,1|3|7,66.492207
0,impute,3,1|3|7,82.444800
0,base,3,1|3|8,67.470172
0,drop,3,1|3|8,94.493865
0,impute,3,1|3|8,85.784762
0,base,3,1|3|9,81.371636
0,drop,3,1|3|9,76.708640
0,impute,3,1|3|9,85.444542
0,base,3,1|3|10,88.486371
0,drop,3,1|3|10,91.922191
0,impute,3,1|3|10,86.136376
0,base,3,1|3|11,59.482472
0,drop,3,1|3|11,67.988320
0,impute,3,1|3|11,86.401668
0,base,3,1|4|5,73.268585
0,drop,3,1|4|5,72.203351
0,impute,3,1|4|5,84.353875
0,base,3,1|4|6,63.679580
0,drop,3,1|4|6,78.494771
0,impute,3,1|4|6,85.865783
0,base,3,1|4|7,64.455925
0,drop,3,1|4|7,67.848114
0,impute,3,1|4|7,80.028973
0,base,3,1|4|8,62.887378
0,drop,3,1|4|8,74.075645
0,impute,3,1|4|8,85.706870
0,base,3,1|4|9,74.659438
0,drop,3,1|4|9,75.588165
0,impute,3,1|4|9,85.247943
0,base,3,1|4|10,80.323846
0,drop,3,1|4|10,79.000301
0,impute,3,1|4|10,85.943819
0,base,3,1|4|11,80.329586
0,drop,3,1|4|11,79.737628
0,impute,3,1|4|11,86.602591
