contrast,metric,missing_groups,mean_diff,std_diff,n_seeds,n_seeds_first_better
proposed-minus-b2,plugin_cond_risk,4,-2.8062,4.5672,5,
proposed-minus-b2,plugin_cond_risk,5,1.2579,3.9479,4,
proposed-minus-b2,plugin_cond_risk,6,nan,nan,0,
proposed-minus-b2,mask_acc_worst,0,1.8231,4.2324,5,3
proposed-minus-b2,mask_acc_worst,1,2.1644,3.8178,5,4
proposed-minus-b2,mask_acc_worst,2,2.1577,6.0481,5,4
proposed-minus-b2,mask_acc_worst,3,3.5711,5.8419,5,3
proposed-minus-b2,mask_acc_worst,4,6.2657,6.5452,5,4
proposed-minus-b2,mask_acc_worst,5,-0.6135,7.5189,5,2
proposed-minus-b2,mask_acc_worst,6,2.0309,10.8122,5,2
proposed-minus-b2,cls_cov_min,0,-20.1136,23.0106,5,1
proposed-minus-b2,cls_cov_min,1,-9.3996,17.9238,5,2
proposed-minus-b2,cls_cov_min,2,-8.0997,10.0375,5,1
proposed-minus-b2,cls_cov_min,3,-6.3433,9.1754,5,1
proposed-minus-b2,cls_cov_min,4,-8.9393,5.6195,5,0
proposed-minus-b2,cls_cov_min,5,-3.1464,7.0615,5,2
proposed-minus-b2,cls_cov_min,6,4.4022,6.2167,5,4
