arm,kernel,width,receptive_field,params,state,model_seed,split_seed,joint,coverage
k3,3,32,9,30756,L2A_prod,0,1,8.025897435897436,70.11371794871795
k3,3,32,9,30756,L2A_prod,0,2,8.280641025641025,71.80282051282049
k3,3,32,9,30756,L2A_prod,0,3,12.045384615384615,75.52769230769232
k3,3,32,9,30756,L2A_prod,0,4,10.359615384615383,68.5019230769231
k3,3,32,9,30756,L2A_prod,0,5,8.15564102564103,66.5225
k3,3,32,9,30756,L2A_prod,0,6,10.134230769230765,74.39141025641023
k3,3,32,9,30756,L2A_prod,0,7,9.654871794871795,70.26923076923076
k3,3,32,9,30756,L2A_prod,0,8,8.459487179487184,71.55923076923072
k3,3,32,9,30756,L2A_prod,0,9,11.662435897435897,71.96743589743585
k3,3,32,9,30756,L2A_prod,1,0,9.186025641025639,59.76730769230771
k3,3,32,9,30756,L2A_prod,1,1,7.504487179487178,59.76012820512822
k3,3,32,9,30756,L2A_prod,1,2,6.4298717948717945,59.46999999999998
k3,3,32,9,30756,L2A_prod,1,3,10.119230769230766,62.89794871794873
k3,3,32,9,30756,L2A_prod,1,4,11.466923076923074,63.04128205128205
k3,3,32,9,30756,L2A_prod,1,5,6.841923076923079,54.97615384615388
k3,3,32,9,30756,L2A_prod,1,6,7.5311538461538445,57.992564102564124
k3,3,32,9,30756,L2A_prod,1,7,7.213461538461539,57.19384615384616
k3,3,32,9,30756,L2A_prod,1,8,8.106410256410255,60.69423076923077
k3,3,32,9,30756,L2A_prod,1,9,9.906025641025643,60.130384615384614
k3,3,32,9,30756,L2A_prod,2,0,12.631410256410259,71.21205128205128
k3,3,32,9,30756,L2A_prod,2,1,8.297435897435895,68.93012820512823
k3,3,32,9,30756,L2A_prod,2,2,8.14025641025641,70.3397435897436
k3,3,32,9,30756,L2A_prod,2,3,13.501410256410248,73.05192307692306
k3,3,32,9,30756,L2A_prod,2,4,13.492307692307692,69.55435897435896
k3,3,32,9,30756,L2A_prod,2,5,9.763910256410258,67.58935897435894
k3,3,32,9,30756,L2A_prod,2,6,10.079102564102564,72.92897435897436
k3,3,32,9,30756,L2A_prod,2,7,9.056538461538462,66.87333333333333
k3,3,32,9,30756,L2A_prod,2,8,8.507307692307691,69.40115384615383
k3,3,32,9,30756,L2A_prod,2,9,12.850256410256408,71.92833333333334
k3,3,32,9,30756,L2A_prod,3,0,11.585641025641026,71.39589743589745
k3,3,32,9,30756,L2A_prod,3,1,6.860769230769232,68.35128205128204
k3,3,32,9,30756,L2A_prod,3,2,8.613076923076921,72.86935897435896
k3,3,32,9,30756,L2A_prod,3,3,11.263589743589744,73.81128205128206
k3,3,32,9,30756,L2A_prod,3,4,10.28833333333333,69.83333333333336
k3,3,32,9,30756,L2A_prod,3,5,7.676730769230768,67.73916666666668
k3,3,32,9,30756,L2A_prod,3,6,8.911025641025642,73.27871794871795
k3,3,32,9,30756,L2A_prod,3,7,11.15884615384615,73.88833333333335
k3,3,32,9,30756,L2A_prod,3,8,9.825897435897433,74.51115384615385
k3,3,32,9,30756,L2A_prod,3,9,10.581410256410253,68.46102564102561
k3,3,32,9,30756,L2A_prod,4,0,9.68705128205128,70.42128205128205
k3,3,32,9,30756,L2A_prod,4,1,9.087692307692306,72.41705128205128
k3,3,32,9,30756,L2A_prod,4,2,8.675512820512825,74.41615384615385
k3,3,32,9,30756,L2A_prod,4,3,11.366410256410257,75.70320512820513
k3,3,32,9,30756,L2A_prod,4,4,9.00320512820513,65.93756410256411
k3,3,32,9,30756,L2A_prod,4,5,8.794615384615387,70.11205128205127
k3,3,32,9,30756,L2A_prod,4,6,10.218205128205128,75.64076923076924
k3,3,32,9,30756,L2A_prod,4,7,7.401282051282054,64.61448717948718
k3,3,32,9,30756,L2A_prod,4,8,7.114615384615383,68.73141025641026
k3,3,32,9,30756,L2A_prod,4,9,12.00666666666667,73.82641025641028
k5,5,32,17,84516,clean,0,0,7.2230769230769205,59.37307692307693
k5,5,32,17,84516,clean,0,1,8.712435897435897,66.82833333333335
k5,5,32,17,84516,clean,0,2,6.924487179487178,64.05141025641025
k5,5,32,17,84516,clean,0,3,8.258205128205129,64.6242307692308
k5,5,32,17,84516,clean,0,4,8.40282051282051,59.174743589743585
k5,5,32,17,84516,clean,0,5,6.630897435897437,62.28532051282052
k5,5,32,17,84516,clean,0,6,8.935128205128203,68.68999999999997
k5,5,32,17,84516,clean,0,7,6.6083333333333325,59.24756410256411
k5,5,32,17,84516,clean,0,8,5.804358974358973,60.26679487179485
k5,5,32,17,84516,clean,0,9,8.417307692307693,65.56948717948718
k5,5,32,17,84516,clean,1,0,9.806410256410253,57.12153846153847
k5,5,32,17,84516,clean,1,1,8.455128205128203,60.89346153846156
k5,5,32,17,84516,clean,1,2,6.184871794871795,57.628717948717934
k5,5,32,17,84516,clean,1,3,10.640128205128205,63.98089743589743
k5,5,32,17,84516,clean,1,4,10.044230769230769,58.80294871794868
