state,cls,model_seed,split_seed,support,iou,f1,pa,ua,joint,selective,coverage
L2A,thin cloud,0,4,13564,0.2845261545195885,0.5674378000872982,0.28752580359775876,21.428571428571427,91.18254202300207,99.99191527205109,91.18991447950458
L2A,cloud shadow,0,4,15177,4.417935781979349,8.46202474487492,6.1738156420900046,13.445257569235183,88.33102721222903,95.65465572600786,92.3436779337155
clean,clear,0,5,75202,75.00353995795619,85.71659747680013,91.56671365123267,80.56910854481846,2.3988723704156807,2.8565094847515593,83.97914949070503
clean,thick cloud,0,5,42422,69.94627686156922,82.31575078110642,79.182971099901,85.70663128619907,8.870397435293008,11.694325315432904,75.85215218518692
clean,thin cloud,0,5,14511,28.83878353491613,44.76723971412014,39.92833023223761,50.94074204325655,25.876920956515747,54.9941417691857,47.05395906553649
clean,cloud shadow,0,5,13465,34.928818325619545,51.77369632234814,44.2777571481619,62.324900689943554,29.714073523950983,49.695689976400445,59.79205347196436
L2A,clear,0,5,75202,59.666345307456936,74.73878755421144,94.64242972261377,61.7520996737697,3.886864711044919,3.9964451736395956,97.25805164756255
L2A,thick cloud,0,5,42422,52.77399127589967,69.08766451037252,54.7569657253312,93.5785360351287,38.249021734005936,43.709929421906146,87.5064824855028
L2A,thin cloud,0,5,14511,0.2979616712941017,0.594152994396057,0.3032182482254841,14.666666666666666,93.78402591137758,99.97061632263278,93.8115912066708
L2A,cloud shadow,0,5,13465,4.228023203926819,8.113025794712618,5.629409580393613,14.518291515035434,89.15707389528407,95.99392291699984,92.87783141477905
clean,clear,0,6,72078,75.78165622951191,86.22248516143969,93.01173728460834,80.35695022114612,2.2767002414051443,2.651949772943971,85.85005133327783
clean,thick cloud,0,6,43010,70.34438378344716,82.59078722885693,78.78865380144153,86.77848911651729,8.358521274122298,11.026930863137231,75.80097651708904
clean,thin cloud,0,6,14293,31.276893825677977,47.65026489308992,43.73469530539425,52.33590087073008,27.75484502903519,55.48251748251748,50.024487511369195
clean,cloud shadow,0,6,14219,38.09467595325227,55.17182424346041,45.389971165342146,70.32799389778795,28.06104508052606,47.66455620594911,58.871931922076094
L2A,clear,0,6,72078,58.884101052848,74.12208101710817,95.36335636393906,60.619636825441624,3.554482643802547,3.6175710594315245,98.25605593939899
L2A,thick cloud,0,6,43010,53.54856042627502,69.74804619153156,55.61032318065566,93.52467349651991,37.72843524761683,42.92062316502235,87.90281329923275
L2A,thin cloud,0,6,14293,0.2669769989047098,0.5325322591656994,0.27286084097110475,11.016949152542372,92.39487861190793,99.9924282577421,92.4018750437277
L2A,cloud shadow,0,6,14219,4.371862131212275,8.377472705653442,5.450453618397918,18.094793369133786,89.55622758281173,96.01870004524204,93.2695688867009
clean,clear,0,7,73610,76.04414148366898,86.39212965882575,93.0525743784812,80.62146892655367,1.994294253498166,2.376058138970267,83.93288955304986
clean,thick cloud,0,7,44585,71.26208877918504,83.219922502599,78.99966356397891,87.91653146294585,6.878995177750364,9.423874635120603,72.9954020410452
clean,thin cloud,0,7,12186,26.22214340604126,41.549196834168505,36.40242901690465,48.39096760117813,26.743804365665518,66.61896974652494,40.14442803216806
clean,cloud shadow,0,7,14019,40.7353624535316,57.889306203310085,50.024966117412085,68.6875612144956,24.61659176831443,42.04946996466431,58.541978743134315
L2A,clear,0,7,73610,58.502921359916705,73.81936037263641,92.36245075397365,61.47697371395502,6.461078657791061,6.612075796966453,97.71634288819455
L2A,thick cloud,0,7,44585,54.57407731327619,70.61219870996945,55.98295390826511,95.59189613572823,36.72759896826287,42.301730818909846,86.82292250756981
L2A,thin cloud,0,7,12186,0.46759109964527573,0.9308297223559621,0.47595601509929425,21.014492753623188,91.49023469555227,100.0,91.49023469555227
L2A,cloud shadow,0,7,14019,3.8455950016951617,7.406370971503194,5.6637420643412515,10.697925087577472,89.84948997788716,95.56179349063045,94.02239817390684
clean,clear,0,8,76045,76.53831058392569,86.71014277950694,92.31902163192846,81.74376768394211,2.138207640213032,2.547391508694971,83.93714248142547
clean,thick cloud,0,8,43042,72.07848299123853,83.77396376153368,81.42279633846012,86.26495347806824,6.098694298592073,8.205689277899344,74.32275451884206
clean,thin cloud,0,8,13859,30.246536267318664,46.4450527962456,42.84580417057508,50.70446588677312,22.086730644346634,58.944733294819954,37.470235947759576
clean,cloud shadow,0,8,15054,38.35097493036212,55.440122412821125,45.72870997741464,70.38854805725971,27.0293609671848,47.42977036950693,56.988175900093
L2A,clear,0,8,76045,59.717340848806366,74.77878172957656,94.73732658294432,61.76631972427511,4.332960746926162,4.415824599962476,98.12347951870602
L2A,thick cloud,0,8,43042,54.22595269087481,70.32013969732247,56.135867292412065,94.09611340447074,36.57357929464244,42.23205902079141,86.60145904000743
L2A,thin cloud,0,8,13859,0.4980788387647645,0.9912206173888416,0.5050869471101811,26.41509433962264,93.1741106861967,99.96903305721143,93.20297279746013
L2A,cloud shadow,0,8,15054,4.6676891615541924,8.91906413324867,6.064833266905806,16.848126960693854,88.60767902218679,95.70239632658918,92.58668792347548
clean,clear,0,9,76156,75.84312138605216,86.26225556988778,93.52119333998634,80.04900363031481,1.4811702295288618,1.7249288925589503,85.86848048742056
clean,thick cloud,0,9,45331,70.19196304114062,82.4856377315221,77.75914936798218,87.82389874426948,8.043061039906465,11.083077484269083,72.57064701859655
clean,thin cloud,0,9,14219,30.086902864194993,46.25662107676497,41.14916660805964,52.811625597978164,27.146775441310922,56.66470933646506,47.907729094873055
clean,cloud shadow,0,9,13894,37.88084955333373,54.94722389084355,46.0846408521664,68.03017424564386,26.802936519360877,47.61539445083749,56.29048510148266
L2A,clear,0,9,76156,60.44655005655645,75.34789627480231,96.83544303797468,61.664659843467795,2.2532696044960345,2.297035004350445,98.09470035190924
L2A,thick cloud,0,9,45331,53.058084369791004,69.33065259277875,54.770466126933,94.43535810733711,37.702675873022876,43.50293990378496,86.66696079945291
L2A,thin cloud,0,9,14219,0.10341974627688913,0.20662580067497763,0.10549265067866939,5.0,93.85329488712286,99.99250711823767,93.86032773050145
L2A,cloud shadow,0,9,13894,3.041666666666667,5.903760614638092,3.6778465524686914,14.95463857184665,91.3271915934936,97.83346183500386,93.34964732978264
clean,clear,1,0,74045,75.93019027996607,86.31854505373381,93.0717806739145,80.47903212621598,2.0406509555000336,2.3476220810092756,86.9241677358363
clean,thick cloud,1,0,44528,69.07763769077637,81.71114599686028,79.48706431908012,84.06327189815694,8.502515271289974,11.05530572913625,76.90891124685592
clean,thin cloud,1,0,14125,31.103536429484446,47.44881377965551,41.34513274336283,55.666761986464586,30.92389380530973,57.961783439490446,53.352212389380526
clean,cloud shadow,1,0,13302,30.41272198502568,46.640728791041944,36.949330927680045,63.22356573192693,37.227484588783646,60.98522167487685,61.043452112464294
L2A,clear,1,0,74045,56.80447280623664,72.452617951058,92.20744142075765,59.66894767660348,0.6793166317779729,0.7670021347971943,88.56776284691742
L2A,thick cloud,1,0,44528,48.871290537777874,65.6557625869122,51.00161696011498,92.12608007788731,42.90334171757097,47.94097718888805,89.49200503054257
L2A,thin cloud,1,0,14125,0.07733408323959505,0.15454864769933263,0.07787610619469026,10.0,92.89203539823009,100.0,92.89203539823009
L2A,cloud shadow,1,0,13302,4.51995012468828,8.64897107068297,6.540369869192602,12.764084507042254,84.37077131258457,98.8549282128072,85.3480679597053
clean,clear,1,1,72566,76.2676636903034,86.53619398314964,90.51621971722295,82.89143246551659,2.688586941542871,3.2295442882918675,83.24973127911143
clean,thick cloud,1,1,43341,72.9203648160617,84.33982300884956,82.46002630303869,86.30732449467507,6.026626058466579,7.885521072334259,76.42647839228445
clean,thin cloud,1,1,11734,30.749617542070375,47.03588143525741,46.25021305607636,47.84870393228707,21.399352309527867,52.963509808057374,40.40395432077723
clean,cloud shadow,1,1,13959,36.84241086981768,53.84648024780413,45.45454545454545,66.03871773522066,26.126513360555915,47.59232676497455,54.89648255605702
L2A,clear,1,1,72566,59.86601176736033,74.89523395939638,95.06656009701513,61.78551596897559,0.34175784802800213,0.3904773900995087,87.52308243530028
L2A,thick cloud,1,1,43341,54.01769832799715,70.14479363658675,56.055467109665216,93.6945622830698,37.99635449112849,42.74959763252168,88.88119794190258
L2A,thin cloud,1,1,11734,0.16028344862493674,0.3200539038153794,0.1619226180330663,13.66906474820144,90.58292142491904,100.0,90.58292142491904
L2A,cloud shadow,1,1,13959,3.963627885287946,7.625028033191297,4.871409126728276,17.539334537013154,80.98717673185757,99.55089820359282,81.3525324163622
clean,clear,1,2,75419,76.70185217696628,86.81499512540441,92.68619313435606,81.64330763840223,2.1400442859226456,2.534507938003486,84.43628263434944
clean,thick cloud,1,2,42136,71.57158190224571,83.43057878084285,82.29305107271692,84.59999512040403,6.823144104803494,8.777553886548208,77.73400417695082
clean,thin cloud,1,2,16262,33.713386127277936,50.42634414356559,43.45713934325421,60.05778873119741,27.17992866806051,51.4491910138517,52.82868035911942
clean,cloud shadow,1,2,12983,35.012928044396794,51.86603764771826,42.763613956712625,65.89128886779018,29.09188939382269,52.43648479800084,55.480243395209115
L2A,clear,1,2,75419,59.78922171614748,74.83511224850716,95.38180034208887,61.571644997560625,0.45479255890425485,0.513065980584267,88.64211935984301
L2A,thick cloud,1,2,42136,53.58151827212249,69.7759976264649,55.81450541104993,93.0521484529556,37.324378203911145,42.33948041459147,88.15502183406113
L2A,thin cloud,1,2,16262,0.2318345433469587,0.4625966279140544,0.23367359488377812,22.75449101796407,89.52773336612962,99.99313186813187,89.53388267125814
L2A,cloud shadow,1,2,12983,4.468973747016706,8.555599977154605,5.76908264653778,16.548828988068934,81.71454979588692,98.30429948109712,83.12408534237079
clean,clear,1,3,72756,77.16788354424612,87.11272269048031,93.11671889603606,81.83608141571541,1.6301061080873054,1.932194001401085,84.36555060751003
clean,thick cloud,1,3,39907,70.62626087333783,82.7847489733908,81.58468439120956,84.02064516129032,6.204425288796451,8.314304902619208,74.62349963665523
clean,thin cloud,1,3,13204,31.601192088864806,48.02569275744225,44.16843380793699,52.62113146260038,24.05331717661315,52.13394615889692,46.137534080581645
clean,cloud shadow,1,3,15733,39.05924717267766,56.17641108638479,44.123816182546236,77.2879091516366,28.055679145744612,50.06805807622504,56.035085489099345
L2A,clear,1,3,72756,59.727981562634056,74.78712368153599,97.6001979218209,60.618218758269805,0.19654736379130242,0.21451179814889818,91.62543295398318
L2A,thick cloud,1,3,39907,50.50340069720387,67.11263727364022,51.91319818578194,94.89716458247446,41.91745809005939,47.56596906278435,88.1248903701105
