seed,method,state,IoU_clear,IoU_thick,IoU_thin,IoU_shadow,miou,audc,support_clear,support_thick,support_thin,support_shadow
2,b4,clean,77.97580910250768,72.62215781524269,33.92051557465091,39.622528280373274,56.03525269319364,48.68900558023507,151794,86281,26563,27862
2,b4,dropB10,76.84683758649233,71.35113145181795,23.351609329280418,36.86283801794864,52.10310409638483,48.68900558023507,151794,86281,26563,27862
2,b4,dropB1B9B10,74.99112465227182,69.62438648440352,18.612886768104197,36.23966589959942,49.86701595109474,48.68900558023507,151794,86281,26563,27862
2,b4,L2A_real,63.158421539924426,56.10147792102781,0.09359089547768794,0.3686075224564292,29.930524469721586,48.68900558023507,151794,86281,26563,27862
2,b6,clean,77.38725398105889,72.22737070087571,32.758034570225675,38.520622590649545,55.22332046070245,31.77493584711226,151794,86281,26563,27862
2,b6,dropB10,64.00664716370372,66.56454124451456,18.317815671095303,28.583928420220722,44.368233124883574,31.77493584711226,151794,86281,26563,27862
2,b6,dropB1B9B10,36.0363499114479,40.404849101206864,5.736106597335066,9.903632736774085,23.020234586690975,31.77493584711226,151794,86281,26563,27862
2,b6,L2A_real,64.85266436075587,58.78569871375626,1.0313819049366857,1.0737368823406768,31.43587046544737,31.77493584711226,151794,86281,26563,27862
2,proposed,clean,78.11974390223727,72.90679222974725,33.47924773022049,39.17869707630717,55.92112023462804,47.91376314868015,151794,86281,26563,27862
2,proposed,dropB10,76.94857155215294,71.49658816889847,23.752310536044362,36.81634578529941,52.2534540105988,47.91376314868015,151794,86281,26563,27862
2,proposed,dropB1B9B10,74.99147317329135,69.65360743557596,20.234421448996347,35.86099367335313,50.185123932804196,47.91376314868015,151794,86281,26563,27862
2,proposed,L2A_real,63.2791741810224,56.03281799408383,0.1303538175046555,0.296069058999786,29.93460376290267,47.91376314868015,151794,86281,26563,27862
3,b1,clean,77.5993246859293,72.63500594284534,33.62598770851624,38.90016664141797,55.690121244677215,27.343394638112876,151794,86281,26563,27862
3,b1,dropB10,64.16790372322069,66.94646410908159,12.612180479049329,29.070638654958493,43.19929674157753,27.343394638112876,151794,86281,26563,27862
