split_seed,model_seed,method,state,arm,acc,aurc,augrc,auroc,aurc_rawT,auroc_rawT,aurc_cleanT,auroc_cleanT,temperature,crc_threshold,crc_calibration_selection_stat,crc_heldout_empirical_joint_loss,crc_heldout_coverage,crc_heldout_selective_risk,crc_feasible,n_calib_units,n_eval_units,n_temp_roi,n_calib_roi,n_eval_roi,mondrian_plugin_cond_risk,mondrian_plugin_cov,naive_plugin_cond_risk,naive_plugin_cov,plugin_margin_neff,plugin_margin_icc,plugin_degenerate,mondrian_plugin_cov_rowsized,naive_plugin_cov_rowsized,mondrian_plugin_cond_risk_rowsized,naive_plugin_cond_risk_rowsized
8,0,b2,dropB10,naiveThr_freshT,77.3595,7.95539,5.8918,80.9944,7.95931,80.9814,7.95205,81.0052,1.07091,0.669714,9.95714,7.65109,68.0091,11.2501,1,69,69,46,69,69,8.44367,58.0716,8.73875,59.3736,855,0.0484958,0,61.7122,62.6669,9.33716,9.58414
8,0,b2,dropB1B9B10,mondrian,76.1736,8.72738,6.30356,80.9084,8.7255,80.9136,8.72033,80.9254,0.963504,0.62706,9.89381,8.2413,68.296,12.067,1,69,69,46,69,69,8.7157,55.9723,7.34513,49.5824,773,0.0508185,0,59.7554,53.0899,9.63161,8.10838
8,0,b2,dropB1B9B10,naive,76.1736,8.72738,6.30356,80.9084,8.7255,80.9136,8.72033,80.9254,1.14524,0.648599,9.96036,5.7058,59.0293,9.66603,1,69,69,46,69,69,8.7157,55.9723,7.34513,49.5824,773,0.0508185,0,59.7554,53.0899,9.63161,8.10838
8,0,b2,dropB1B9B10,naiveThr_freshT,76.1736,8.72738,6.30356,80.9084,8.7255,80.9136,8.72033,80.9254,0.963504,0.703921,9.95036,5.83188,59.6572,9.77565,1,69,69,46,69,69,8.7157,55.9723,7.34513,49.5824,773,0.0508185,0,59.7554,53.0899,9.63161,8.10838
8,0,b2,L2A_real,mondrian,62.9811,22.2301,13.1565,72.9601,21.983,72.4856,21.9552,72.5594,4.11333,0.684731,9.98726,9.32246,47.458,19.6436,1,69,69,46,69,69,nan,0,34.4733,90.648,1,0.0427544,1,0.0324324,91.9236,33.3333,34.8284
8,0,b2,L2A_real,naive,62.9811,22.2301,13.1565,72.9601,21.983,72.4856,21.9552,72.5594,1.14524,0.648599,9.96036,33.0743,93.7699,35.2717,1,69,69,46,69,69,nan,0,34.4733,90.648,1,0.0427544,1,0.0324324,91.9236,33.3333,34.8284
8,0,b2,L2A_real,naiveThr_freshT,62.9811,22.2301,13.1565,72.9601,21.983,72.4856,21.9552,72.5594,4.11333,0.372494,9.87036,34.6623,96.5848,35.888,1,69,69,46,69,69,nan,0,34.4733,90.648,1,0.0427544,1,0.0324324,91.9236,33.3333,34.8284
8,1,proposed,clean,mondrian,79.9014,6.12322,4.68495,83.4044,6.12403,83.395,6.12322,83.4044,1.13675,0.662477,9.96286,7.9837,75.4217,10.5854,1,69,69,46,69,69,8.25306,67.6162,8.25306,67.6162,912,0.0527042,0,70.9939,70.9939,9.20616,9.20616
8,1,proposed,clean,naive,79.9014,6.12322,4.68495,83.4044,6.12403,83.395,6.12322,83.4044,1.13675,0.662477,9.96286,7.9837,75.4217,10.5854,1,69,69,46,69,69,8.25306,67.6162,8.25306,67.6162,912,0.0527042,0,70.9939,70.9939,9.20616,9.20616
8,1,proposed,clean,naiveThr_freshT,79.9014,6.12322,4.68495,83.4044,6.12403,83.395,6.12322,83.4044,1.13675,0.662477,9.96286,7.9837,75.4217,10.5854,1,69,69,46,69,69,8.25306,67.6162,8.25306,67.6162,912,0.0527042,0,70.9939,70.9939,9.20616,9.20616
8,1,proposed,dropB10,mondrian,78.7824,6.8506,5.12562,82.8029,6.85411,82.7867,6.8505,82.8035,1.12898,0.665109,9.88298,7.71703,73.2058,10.5416,1,69,69,46,69,69,7.66621,62.9385,8.43625,66.0358,805,0.0549581,0,66.9899,69.0345,8.71653,9.29814
8,1,proposed,dropB10,naive,78.7824,6.8506,5.12562,82.8029,6.85411,82.7867,6.8505,82.8035,1.13675,0.662477,9.96286,7.72862,73.2301,10.5539,1,69,69,46,69,69,7.66621,62.9385,8.43625,66.0358,805,0.0549581,0,66.9899,69.0345,8.71653,9.29814
8,1,proposed,dropB10,naiveThr_freshT,78.7824,6.8506,5.12562,82.8029,6.85411,82.7867,6.8505,82.8035,1.12898,0.664565,9.96607,7.7308,73.2482,10.5543,1,69,69,46,69,69,7.66621,62.9385,8.43625,66.0358,805,0.0549581,0,66.9899,69.0345,8.71653,9.29814
8,1,proposed,dropB1B9B10,mondrian,76.6791,8.12612,6.00134,81.647,8.12442,81.6463,8.12498,81.6489,1.20286,0.663409,9.99405,7.7529,68.6565,11.2923,1,69,69,46,69,69,7.77259,55.4182,9.77488,63.7804,700,0.056449,0,59.5277,66.6385,8.70478,10.6089
8,1,proposed,dropB1B9B10,naive,76.6791,8.12612,6.00134,81.647,8.12442,81.6463,8.12498,81.6489,1.13675,0.662477,9.96286,8.35254,70.5522,11.8388,1,69,69,46,69,69,7.77259,55.4182,9.77488,63.7804,700,0.056449,0,59.5277,66.6385,8.70478,10.6089
8,1,proposed,dropB1B9B10,naiveThr_freshT,76.6791,8.12612,6.00134,81.647,8.12442,81.6463,8.12498,81.6489,1.20286,0.645124,9.98429,8.29674,70.3953,11.7859,1,69,69,46,69,69,7.77259,55.4182,9.77488,63.7804,700,0.056449,0,59.5277,66.6385,8.70478,10.6089
8,1,proposed,L2A_real,mondrian,67.2068,18.1672,11.3259,73.0081,17.9468,73.3727,17.9357,73.3859,3.31942,0.705987,9.90083,9.11558,51.7967,17.5988,1,69,69,46,69,69,7.60553,7.42703,30.381,90.3993,140,0.0425559,0,10.9865,91.3736,9.87085,30.7329
8,1,proposed,L2A_real,naive,67.2068,18.1672,11.3259,73.0081,17.9468,73.3727,17.9357,73.3859,1.13675,0.662477,9.96286,28.8815,92.4688,31.2338,1,69,69,46,69,69,7.60553,7.42703,30.381,90.3993,140,0.0425559,0,10.9865,91.3736,9.87085,30.7329
8,1,proposed,L2A_real,naiveThr_freshT,67.2068,18.1672,11.3259,73.0081,17.9468,73.3727,17.9357,73.3859,3.31942,0.41188,9.90714,30.8319,96.9254,31.8099,1,69,69,46,69,69,7.60553,7.42703,30.381,90.3993,140,0.0425559,0,10.9865,91.3736,9.87085,30.7329
8,1,b2,clean,mondrian,79.1689,6.51215,4.94058,83.1986,6.51579,83.1809,6.51215,83.1986,1.08851,0.660654,9.90988,7.17101,72.2543,9.92468,1,69,69,46,69,69,7.73782,64.6351,7.73782,64.6351,974,0.0474303,0,67.8405,67.8405,8.57237,8.57237
8,1,b2,clean,naive,79.1689,6.51215,4.94058,83.1986,6.51579,83.1809,6.51215,83.1986,1.08851,0.660654,9.90988,7.17101,72.2543,9.92468,1,69,69,46,69,69,7.73782,64.6351,7.73782,64.6351,974,0.0474303,0,67.8405,67.8405,8.57237,8.57237
8,1,b2,clean,naiveThr_freshT,79.1689,6.51215,4.94058,83.1986,6.51579,83.1809,6.51215,83.1986,1.08851,0.660654,9.90988,7.17101,72.2543,9.92468,1,69,69,46,69,69,7.73782,64.6351,7.73782,64.6351,974,0.0474303,0,67.8405,67.8405,8.57237,8.57237
8,1,b2,dropB10,mondrian,77.3486,7.76696,5.77989,81.6535,7.76708,81.6531,7.76575,81.6572,1.00551,0.654229,9.91833,8.08949,69.7859,11.5919,1,69,69,46,69,69,7.97843,57.2743,8.31407,58.4568,917,0.0435914,0,61.0966,61.5419,9.05301,9.18513
8,1,b2,dropB10,naive,77.3486,7.76696,5.77989,81.6535,7.76708,81.6531,7.76575,81.6572,1.08851,0.660654,9.90988,7.06522,66.3652,10.646,1,69,69,46,69,69,7.97843,57.2743,8.31407,58.4568,917,0.0435914,0,61.0966,61.5419,9.05301,9.18513
8,1,b2,dropB10,naiveThr_freshT,77.3486,7.76696,5.77989,81.6535,7.76708,81.6531,7.76575,81.6572,1.00551,0.686439,9.90583,7.11993,66.5605,10.6969,1,69,69,46,69,69,7.97843,57.2743,8.31407,58.4568,917,0.0435914,0,61.0966,61.5419,9.05301,9.18513
8,1,b2,dropB1B9B10,mondrian,76.3993,8.55097,6.22387,80.928,8.55163,80.928,8.55354,80.9252,0.955288,0.626417,9.99714,8.33696,69.2279,12.0428,1,69,69,46,69,69,8.46092,56.5318,7.34268,51.3473,758,0.0524668,0,60.6128,54.8804,9.45188,8.1307
8,1,b2,dropB1B9B10,naive,76.3993,8.55097,6.22387,80.928,8.55163,80.928,8.55354,80.9252,1.08851,0.660654,9.90988,5.70507,60.163,9.48269,1,69,69,46,69,69,8.46092,56.5318,7.34268,51.3473,758,0.0524668,0,60.6128,54.8804,9.45188,8.1307
