split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_dark_units,n_bright_units,n_eval_units,n_eval_px
5,1,b2,naive,75.9269,9.241,78.745,1.169,0.620249,13.7577,79.7269,17.256,1,91,152,33,13,26000
5,1,b2,mondrian,75.9269,9.241,78.745,1.59904,0.807588,4.26154,49.65,8.58316,1,12,152,33,13,26000
5,2,proposed,naive,76.5462,8.74255,79.4957,1.25042,0.641801,11.0731,75.0308,14.758,1,91,152,33,13,26000
5,2,proposed,mondrian,76.5462,8.74255,79.4957,1.51264,0.779013,3.93077,50.2192,7.82722,1,12,152,33,13,26000
5,2,b2,naive,76.7923,8.22828,80.6318,1.09142,0.631977,9.91923,73.05,13.5787,1,91,152,33,13,26000
5,2,b2,mondrian,76.7923,8.22828,80.6318,1.46795,0.767149,2.64615,45.25,5.84785,1,12,152,33,13,26000
6,0,proposed,naive,70.4567,12.3575,79.0402,1.15109,0.658427,13.8404,73.8519,18.7407,1,91,152,33,13,30000
6,0,proposed,mondrian,70.4567,12.3575,79.0402,1.28586,0.831309,4.64038,47.9269,9.68221,1,12,152,33,13,30000
6,0,b2,naive,70.0733,12.5388,79.0771,1.08116,0.654284,13.7135,73.3038,18.7077,1,91,152,33,13,30000
6,0,b2,mondrian,70.0733,12.5388,79.0771,1.186,0.834746,4.08462,46.8846,8.71206,1,12,152,33,13,30000
6,1,proposed,naive,70.4333,11.8266,80.0314,1.15011,0.63846,14.6577,75.9212,19.3065,1,91,152,33,13,30000
6,1,proposed,mondrian,70.4333,11.8266,80.0314,1.2961,0.838304,3.44038,44.1,7.80133,1,12,152,33,13,30000
6,1,b2,naive,70.83,12.0064,79.2775,1.09242,0.657412,15.1904,77.8885,19.5027,1,91,152,33,13,30000
6,1,b2,mondrian,70.83,12.0064,79.2775,1.38898,0.885833,3.54231,42.7462,8.28685,1,12,152,33,13,30000
6,2,proposed,naive,69.3633,12.7824,79.6256,1.18422,0.668462,12.4462,69.4788,17.9136,1,91,152,33,13,30000
6,2,proposed,mondrian,69.3633,12.7824,79.6256,1.19665,0.893287,2.44808,35.4404,6.90759,1,12,152,33,13,30000
6,2,b2,naive,70.54,11.5193,80.7165,1.02905,0.663199,11.9962,70.4981,17.0163,1,91,152,33,13,30000
6,2,b2,mondrian,70.54,11.5193,80.7165,1.13678,0.889953,1.80385,37.7231,4.78181,1,12,152,33,13,30000
7,0,proposed,naive,76.2692,8.95384,79.5234,1.25336,0.615779,11.4385,75.7538,15.0995,1,91,152,33,13,26000
7,0,proposed,mondrian,76.2692,8.95384,79.5234,1.51113,0.818998,1.99615,38.3692,5.20249,1,12,152,33,13,26000
7,0,b2,naive,74.6885,10.0927,78.5029,1.1642,0.61598,12.3423,74.8231,16.4953,1,91,152,33,13,26000
7,0,b2,mondrian,74.6885,10.0927,78.5029,1.50946,0.74107,3.60385,44.8808,8.02982,1,12,152,33,13,26000
7,1,proposed,naive,76.6385,8.72137,79.7436,1.23904,0.605278,12.1154,78.2154,15.4898,1,91,152,33,13,26000
7,1,proposed,mondrian,76.6385,8.72137,79.7436,1.37443,0.823346,3.04615,45.3577,6.71585,1,12,152,33,13,26000
7,1,b2,naive,75.1038,9.91291,78.8262,1.18666,0.616636,12.7308,77.5538,16.4154,1,91,152,33,13,26000
7,1,b2,mondrian,75.1038,9.91291,78.8262,1.79538,0.770191,3.52692,42.9423,8.21317,1,12,152,33,13,26000
7,2,proposed,naive,75.9462,9.33699,79.2119,1.28529,0.625317,11.2,75.0346,14.9264,1,91,152,33,13,26000
7,2,proposed,mondrian,75.9462,9.33699,79.2119,1.36398,0.841929,3.20769,43.2115,7.42323,1,12,152,33,13,26000
7,2,b2,naive,73.2731,11.0215,77.7571,1.1448,0.608072,13.5654,74.2846,18.2614,1,91,152,33,13,26000
7,2,b2,mondrian,73.2731,11.0215,77.7571,1.33076,0.792765,4.17692,45.5,9.18005,1,12,152,33,13,26000
8,0,proposed,naive,76.7143,7.99882,81.6292,1.22137,0.627962,10.9692,77.8538,14.0895,1,91,152,33,13,28000
8,0,proposed,mondrian,76.7143,7.99882,81.6292,1.5458,0.747979,3.66731,54.1346,6.77442,1,12,152,33,13,28000
8,0,b2,naive,74.9679,9.31409,80.2659,1.14054,0.622657,11.525,76.2577,15.1132,1,91,152,33,13,28000
8,0,b2,mondrian,74.9679,9.31409,80.2659,1.42077,0.779591,2.89615,44.8135,6.46269,1,12,152,33,13,28000
8,1,proposed,naive,76.1857,8.38142,81.304,1.18967,0.619455,12.1558,80.1308,15.1699,1,91,152,33,13,28000
8,1,proposed,mondrian,76.1857,8.38142,81.304,1.41959,0.775049,4.03269,53.7288,7.50564,1,12,152,33,13,28000
8,1,b2,naive,74.3929,10.3674,78.277,1.15726,0.624478,13.4269,78.7192,17.0567,1,91,152,33,13,28000
8,1,b2,mondrian,74.3929,10.3674,78.277,1.68159,0.748079,5.75192,52.4462,10.9673,1,12,152,33,13,28000
8,2,proposed,naive,75.1821,9.01396,81.1398,1.27312,0.633893,11.2462,76.6058,14.6806,1,91,152,33,13,28000
8,2,proposed,mondrian,75.1821,9.01396,81.1398,1.42457,0.81182,2.91538,46.0404,6.33223,1,12,152,33,13,28000
8,2,b2,naive,74.4643,9.31688,81.0977,1.11225,0.616771,11.1462,74.9788,14.8657,1,91,152,33,13,28000
