arm,seed,split,joint
halfB,8,0,12.256280193236712
halfB,8,1,7.675724637681161
halfB,8,2,9.655193236714975
halfB,8,3,9.628260869565217
halfB,8,4,10.033454106280193
halfB,8,5,11.283333333333335
halfB,8,6,9.80018115942029
halfB,8,7,9.179830917874394
halfB,8,8,8.519927536231885
halfB,8,9,9.780555555555557
halfB,9,0,11.70954106280193
halfB,9,1,9.276992753623189
halfB,9,2,11.071376811594202
halfB,9,3,8.442934782608695
halfB,9,4,10.169806763285024
halfB,9,5,10.061775362318842
halfB,9,6,9.496557971014493
halfB,9,7,9.143357487922705
halfB,9,8,10.488768115942028
halfB,9,9,9.815640096618356
calib_bright,0,0,13.627294685990341
calib_bright,0,1,12.862862318840582
calib_bright,0,2,14.978502415458939
calib_bright,0,3,12.739130434782611
calib_bright,0,4,14.638888888888884
calib_bright,0,5,14.94891304347826
calib_bright,0,6,15.727536231884057
calib_bright,0,7,13.040700483091792
calib_bright,0,8,12.093840579710143
calib_bright,0,9,13.524577294685988
calib_bright,1,0,11.93768115942029
calib_bright,1,1,11.228260869565219
calib_bright,1,2,11.696920289855074
calib_bright,1,3,12.151086956521741
calib_bright,1,4,12.89806763285024
calib_bright,1,5,12.361050724637682
calib_bright,1,6,12.105434782608695
calib_bright,1,7,11.704106280193237
calib_bright,1,8,11.637318840579711
calib_bright,1,9,10.888224637681159
calib_bright,2,0,12.909057971014493
calib_bright,2,1,11.345108695652172
calib_bright,2,2,12.632669082125606
calib_bright,2,3,12.827536231884062
calib_bright,2,4,13.117149758454104
calib_bright,2,5,13.225905797101447
calib_bright,2,6,12.575362318840577
calib_bright,2,7,12.12536231884058
calib_bright,2,8,11.182608695652176
calib_bright,2,9,12.64806763285024
calib_bright,3,0,11.944927536231887
calib_bright,3,1,11.68695652173913
calib_bright,3,2,13.400483091787438
calib_bright,3,3,12.859057971014495
calib_bright,3,4,13.650724637681162
calib_bright,3,5,13.659239130434786
calib_bright,3,6,13.61286231884058
calib_bright,3,7,11.908635265700484
calib_bright,3,8,11.907971014492754
calib_bright,3,9,12.36141304347826
calib_bright,4,0,12.239734299516908
calib_bright,4,1,11.102536231884057
calib_bright,4,2,12.598731884057967
calib_bright,4,3,11.415760869565217
