arm,seed,split,joint
ren_uniform,7,9,0.0
ren_uniform,8,0,0.0
ren_uniform,8,1,0.0
ren_uniform,8,2,0.0
ren_uniform,8,3,0.0
ren_uniform,8,4,0.0
ren_uniform,8,5,0.0
ren_uniform,8,6,0.0
ren_uniform,8,7,0.0
ren_uniform,8,8,0.0
ren_uniform,8,9,0.0
ren_uniform,9,0,0.0
ren_uniform,9,1,0.0
ren_uniform,9,2,0.0
ren_uniform,9,3,0.0
ren_uniform,9,4,0.0
ren_uniform,9,5,0.0
ren_uniform,9,6,0.0
ren_uniform,9,7,0.0
ren_uniform,9,8,0.0
ren_uniform,9,9,0.0
ren_weighted,0,0,0.0
ren_weighted,0,1,0.0
ren_weighted,0,2,0.0
ren_weighted,0,3,0.0
ren_weighted,0,4,0.0
ren_weighted,0,5,0.0
ren_weighted,0,6,0.0
ren_weighted,0,7,0.0
ren_weighted,0,8,0.0
ren_weighted,0,9,0.0
ren_weighted,1,0,0.0
ren_weighted,1,1,0.0
ren_weighted,1,2,0.0
ren_weighted,1,3,0.0
ren_weighted,1,4,0.0
ren_weighted,1,5,0.0
ren_weighted,1,6,0.0
ren_weighted,1,7,0.0
ren_weighted,1,8,0.0
ren_weighted,1,9,0.0
ren_weighted,2,0,0.0
ren_weighted,2,1,0.0
ren_weighted,2,2,0.0
ren_weighted,2,3,0.0
ren_weighted,2,4,0.0
ren_weighted,2,5,0.0
ren_weighted,2,6,0.0
ren_weighted,2,7,0.0
ren_weighted,2,8,0.0
ren_weighted,2,9,0.0
ren_weighted,3,0,0.0
ren_weighted,3,1,0.0
ren_weighted,3,2,0.0
ren_weighted,3,3,0.0
ren_weighted,3,4,0.0
ren_weighted,3,5,0.0
ren_weighted,3,6,0.0
ren_weighted,3,7,0.0
ren_weighted,3,8,0.0
ren_weighted,3,9,0.0
ren_weighted,4,0,0.0
ren_weighted,4,1,0.0
ren_weighted,4,2,0.0
ren_weighted,4,3,0.0
ren_weighted,4,4,0.0
ren_weighted,4,5,0.0
ren_weighted,4,6,0.0
ren_weighted,4,7,0.0
ren_weighted,4,8,0.0
ren_weighted,4,9,0.0
ren_weighted,5,0,0.0
ren_weighted,5,1,0.0
