seed,method,missing_groups,metric,value
0,proposed,6,mask_sel_risk_worst,83.1533
0,proposed,0,mask_sel_risk_median,17.1875
0,proposed,1,mask_sel_risk_median,17.2941
0,proposed,2,mask_sel_risk_median,16.4634
0,proposed,3,mask_sel_risk_median,17.1233
0,proposed,4,mask_sel_risk_median,17.8947
0,proposed,5,mask_sel_risk_median,20.7271
0,proposed,6,mask_sel_risk_median,27.6357
0,proposed,0,cls_cov_min,55
0,proposed,1,cls_cov_min,49.1146
0,proposed,2,cls_cov_min,37.5
0,proposed,3,cls_cov_min,36.6667
0,proposed,4,cls_cov_min,17.7083
0,proposed,5,cls_cov_min,11.4583
0,proposed,6,cls_cov_min,5.98958
0,proposed,0,cls_cov_macro,84.4184
0,proposed,1,cls_cov_macro,80.8708
0,proposed,2,cls_cov_macro,73.1837
0,proposed,3,cls_cov_macro,68.9279
0,proposed,4,cls_cov_macro,54.485
0,proposed,5,cls_cov_macro,40.1179
0,proposed,6,cls_cov_macro,28.2304
0,proposed,0,cls_zero_cov_n,0
0,proposed,1,cls_zero_cov_n,0
0,proposed,2,cls_zero_cov_n,0
0,proposed,3,cls_zero_cov_n,0
0,proposed,4,cls_zero_cov_n,0
0,proposed,5,cls_zero_cov_n,0
0,proposed,6,cls_zero_cov_n,0
0,proposed,0,cls_sel_risk_max,64.8148
0,proposed,1,cls_sel_risk_max,69.3375
0,proposed,2,cls_sel_risk_max,68.787
0,proposed,3,cls_sel_risk_max,77.8409
0,proposed,4,cls_sel_risk_max,88.2353
0,proposed,5,cls_sel_risk_max,95.4545
0,proposed,6,cls_sel_risk_max,100
0,proposed,0,cls_sel_risk_macro,21.7415
0,proposed,1,cls_sel_risk_macro,24.205
0,proposed,2,cls_sel_risk_macro,24.9798
0,proposed,3,cls_sel_risk_macro,28.198
0,proposed,4,cls_sel_risk_macro,34.3825
0,proposed,5,cls_sel_risk_macro,38.315
0,proposed,6,cls_sel_risk_macro,46.2953
0,proposed,0,plugin_threshold,0.542402
0,proposed,1,plugin_threshold,0.581125
0,proposed,2,plugin_threshold,0.641193
0,proposed,3,plugin_threshold,0.669645
0,proposed,4,plugin_threshold,0.78042
0,proposed,5,plugin_threshold,0.860128
0,proposed,6,plugin_threshold,0.962869
0,proposed,0,crc_threshold,0.532927
0,proposed,1,crc_threshold,0.557018
0,proposed,2,crc_threshold,0.607409
0,proposed,3,crc_threshold,0.614374
0,proposed,4,crc_threshold,0.66641
0,proposed,5,crc_threshold,0.687717
0,proposed,6,crc_threshold,0.655334
0,b2,0,acc,76.7977
0,b2,1,acc,75.4165
0,b2,2,acc,73.1124
0,b2,3,acc,70.9971
0,b2,4,acc,66.4819
0,b2,5,acc,58.0986
0,b2,6,acc,45.1402
0,b2,0,aurc,7.96172
