seed,split,state,arm,joint,cov
3,7,L2A,naive,30.380769230769232,90.64634146341464
3,7,L2A,mondrian,8.051923076923078,34.99878048780488
3,8,clean,naive,7.903205128205129,76.78214285714286
3,8,L2A,naive,29.540384615384614,93.64047619047618
3,8,L2A,mondrian,10.487179487179485,45.410714285714285
3,9,clean,naive,9.304487179487179,76.92375
3,9,L2A,naive,29.840384615384618,91.37125
3,9,L2A,mondrian,8.336538461538463,36.46625
4,0,clean,naive,7.744871794871795,74.08333333333333
4,0,L2A,naive,29.287179487179483,94.33333333333334
4,0,L2A,mondrian,10.01025641025641,47.465384615384615
4,1,clean,naive,9.587820512820516,74.74875
4,1,L2A,naive,31.22820512820513,94.3125
4,1,L2A,mondrian,6.267307692307692,34.86875
4,2,clean,naive,9.51025641025641,78.8576923076923
4,2,L2A,naive,30.60641025641026,96.19615384615385
4,2,L2A,mondrian,6.250000000000003,34.51282051282051
4,3,clean,naive,7.741025641025641,71.97439024390245
4,3,L2A,naive,31.030769230769234,92.55975609756098
4,3,L2A,mondrian,8.559615384615386,43.857317073170734
4,4,clean,naive,5.839743589743589,72.4825
4,4,L2A,naive,28.99423076923077,94.13
4,4,L2A,mondrian,6.0621794871794865,33.88875
4,5,clean,naive,8.992307692307694,72.52307692307693
4,5,L2A,naive,31.323076923076915,93.45256410256411
4,5,L2A,mondrian,7.961538461538462,40.93846153846154
4,6,clean,naive,5.805128205128206,70.6
4,6,L2A,naive,26.995512820512822,92.9725
4,6,L2A,mondrian,6.38974358974359,40.475
4,7,clean,naive,10.098717948717946,76.79512195121951
4,7,L2A,naive,31.608333333333338,95.1280487804878
4,7,L2A,mondrian,7.998717948717947,42.36829268292683
4,8,clean,naive,7.276923076923078,75.06428571428572
4,8,L2A,naive,29.700641025641026,95.27857142857142
4,8,L2A,mondrian,11.23333333333333,52.54047619047619
4,9,clean,naive,8.855769230769232,76.075
4,9,L2A,naive,30.36923076923077,94.74000000000001
4,9,L2A,mondrian,7.546153846153845,37.61125
5,0,clean,naive,7.788461538461538,75.18076923076923
5,0,L2A,naive,31.62564102564102,94.27948717948718
5,0,L2A,mondrian,9.73974358974359,42.947435897435895
5,1,clean,naive,8.59679487179487,73.955
5,1,L2A,naive,32.46923076923077,93.44749999999999
5,1,L2A,mondrian,5.794230769230769,30.056250000000002
5,2,clean,naive,9.297435897435896,79.49743589743589
5,2,L2A,naive,32.81923076923077,95.13333333333334
5,2,L2A,mondrian,8.253846153846156,36.233333333333334
5,3,clean,naive,8.687179487179488,74.8939024390244
5,3,L2A,naive,34.16858974358974,93.62682926829268
5,3,L2A,mondrian,8.08974358974359,37.53536585365854
5,4,clean,naive,6.26474358974359,73.8825
5,4,L2A,naive,30.243589743589734,94.2175
5,4,L2A,mondrian,5.046153846153847,28.99
5,5,clean,naive,9.025641025641026,72.86025641025641
5,5,L2A,naive,32.65384615384615,94.40128205128205
5,5,L2A,mondrian,6.988461538461539,35.97692307692308
5,6,clean,naive,6.44679487179487,73.9175
5,6,L2A,naive,29.579487179487185,92.69500000000001
5,6,L2A,mondrian,6.826282051282052,39.125
5,7,clean,naive,8.858333333333333,74.74268292682927
5,7,L2A,naive,33.54615384615384,94.83658536585365
5,7,L2A,mondrian,8.00448717948718,37.43536585365854
5,8,clean,naive,7.790384615384616,77.19285714285714
5,8,L2A,naive,31.767948717948723,95.07142857142857
5,8,L2A,mondrian,10.678846153846152,48.449999999999996
5,9,clean,naive,8.601923076923077,76.55499999999999
5,9,L2A,naive,33.24230769230769,94.92375
5,9,L2A,mondrian,8.723717948717951,40.168749999999996
6,0,clean,naive,7.037179487179487,72.73205128205127
6,0,L2A,naive,24.7448717948718,91.27564102564104
6,0,L2A,mondrian,8.714102564102562,54.452564102564104
6,1,clean,naive,9.403205128205128,75.52375
6,1,L2A,naive,26.930769230769226,91.47999999999999
6,1,L2A,mondrian,6.499358974358974,45.69625
6,2,clean,naive,10.02948717948718,80.04615384615384
6,2,L2A,naive,26.925641025641035,94.8474358974359
6,2,L2A,mondrian,7.267948717948716,47.985897435897435
6,3,clean,naive,8.060256410256411,73.9719512195122
6,3,L2A,naive,26.24294871794872,91.46707317073171
6,3,L2A,mondrian,8.063461538461539,48.39756097560976
6,4,clean,naive,6.1878205128205135,73.48625
6,4,L2A,naive,24.032051282051285,91.7425
6,4,L2A,mondrian,5.007692307692308,44.713750000000005
6,5,clean,naive,8.808974358974359,71.50769230769231
6,5,L2A,naive,26.2948717948718,90.18589743589743
6,5,L2A,mondrian,7.212820512820513,46.975641025641025
6,6,clean,naive,5.621794871794872,71.7675
6,6,L2A,naive,23.148076923076914,92.04
6,6,L2A,mondrian,6.596794871794871,51.003750000000004
6,7,clean,naive,9.358333333333334,75.84756097560975
6,7,L2A,naive,26.942948717948727,91.98780487804879
6,7,L2A,mondrian,7.872435897435897,49.84634146341463
6,8,clean,naive,7.56602564102564,75.24880952380953
6,8,L2A,naive,26.367948717948725,94.01071428571429
6,8,L2A,mondrian,11.683333333333334,62.38095238095238
6,9,clean,naive,9.37307692307692,77.77625
6,9,L2A,naive,26.650641025641026,92.3775
6,9,L2A,mondrian,7.764102564102564,49.985
7,0,clean,naive,6.938461538461538,73.92179487179487
7,0,L2A,naive,28.36153846153846,93.99358974358975
7,0,L2A,mondrian,10.074358974358972,53.69102564102563
7,1,clean,naive,7.8858974358974345,72.46875
7,1,L2A,naive,30.539743589743583,94.2075
7,1,L2A,mondrian,6.243589743589743,40.14125
7,2,clean,naive,9.839743589743591,80.1320512820513
7,2,L2A,naive,30.302564102564112,95.98589743589744
7,2,L2A,mondrian,7.741025641025639,46.929487179487175
7,3,clean,naive,8.816025641025641,74.2719512195122
7,3,L2A,naive,31.1878205128205,93.80975609756096
7,3,L2A,mondrian,7.753846153846156,46.31341463414634
7,4,clean,naive,6.1121794871794854,73.91250000000001
7,4,L2A,naive,27.657692307692304,94.20375
7,4,L2A,mondrian,5.771794871794873,41.83125
7,5,clean,naive,8.36923076923077,71.88076923076923
7,5,L2A,naive,30.4974358974359,93.21666666666667
7,5,L2A,mondrian,7.283333333333333,43.51794871794872
7,6,clean,naive,6.217948717948719,72.5525
7,6,L2A,naive,26.691666666666663,93.24
7,6,L2A,mondrian,5.816666666666666,45.22875
7,7,clean,naive,9.26153846153846,76.06341463414634
7,7,L2A,naive,31.246794871794865,94.97073170731707
